lap,time,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight,VO2Max
1.0,314.4,314.0,142.0,162.0,160.0,216.0,50.8,49.2,1.19,11.5,9.7,59.0,281.0,166.0,312.0,181.0,63.0,63.0
2.0,280.0,594.0,169.0,177.0,164.0,207.0,51.2,48.8,1.31,11.0,8.2,65.0,261.0,168.0,280.0,181.0,63.0,63.0
3.0,268.5,863.0,166.0,171.0,165.0,206.0,52.3,47.7,1.34,11.0,8.0,61.0,260.0,169.0,268.0,181.0,63.0,63.0
1.0,292.5,292.0,137.0,153.0,160.0,195.0,53.1,46.9,1.3,11.8,8.9,52.0,273.0,166.0,288.0,181.0,63.0,63.0
2.0,278.6,571.0,154.0,168.0,165.0,195.0,58.3,41.7,1.31,11.1,8.2,59.0,271.0,167.0,278.0,181.0,63.0,63.0
3.0,284.0,855.0,161.0,170.0,161.0,205.0,57.2,42.8,1.31,11.4,8.5,63.0,271.0,168.0,284.0,181.0,63.0,63.0
1.0,303.7,303.0,148.0,165.0,163.0,200.0,51.6,48.4,1.22,11.0,8.7,61.0,181.0,178.0,303.0,181.0,63.0,63.0
2.0,295.8,599.0,159.0,170.0,164.0,200.0,52.2,47.8,1.24,11.0,8.6,65.0,196.0,169.0,296.0,181.0,63.0,63.0
3.0,307.2,907.0,158.0,174.0,162.0,222.0,51.5,48.5,1.23,10.1,7.8,66.0,278.0,173.0,302.0,181.0,63.0,63.0
1.0,240.1,240.0,146.0,168.0,169.0,195.0,51.8,48.2,1.43,10.0,6.7,47.0,205.0,179.0,240.0,181.0,63.0,63.0
2.0,221.4,461.0,162.0,175.0,173.0,188.0,52.5,47.5,1.57,9.7,5.9,49.0,180.0,191.0,220.0,181.0,63.0,63.0
3.0,252.1,714.0,168.0,178.0,171.0,195.0,52.1,47.9,1.32,9.1,6.6,58.0,225.0,178.0,252.0,181.0,63.0,63.0
1.0,192.2,192.0,161.0,182.0,177.0,172.0,52.0,48.0,1.71,9.0,5.3,43.0,184.0,180.0,192.0,181.0,63.0,63.0
2.0,196.9,274.0,174.0,184.0,178.0,172.0,53.2,46.8,1.73,9.0,5.0,48.0,187.0,182.0,192.0,181.0,63.0,63.0
1.0,302.6,302.0,145.0,163.0,155.0,217.0,51.8,48.2,1.26,9.6,7.2,60.0,259.0,219.0,288.0,181.0,63.0,63.0
2.0,287.8,590.0,168.0,174.0,170.0,206.0,51.4,48.6,1.23,9.4,7.4,69.0,269.0,176.0,287.0,181.0,63.0,63.0
1.0,244.0,244.0,153.0,169.0,168.0,182.0,51.2,48.8,1.48,10.4,6.6,53.0,226.0,183.0,239.0,181.0,63.0,63.0
2.0,241.7,485.0,169.0,176.0,170.0,185.0,52.2,47.8,1.51,9.9,6.3,59.0,229.0,175.0,236.0,181.0,63.0,63.0
3.0,239.0,725.0,176.0,185.0,172.0,186.0,52.7,47.3,1.48,9.5,6.2,61.0,231.0,176.0,236.0,181.0,63.0,63.0
1.0,244.9,244.0,148.0,161.0,163.0,185.0,49.4,50.6,1.49,10.9,7.1,53.0,235.0,169.0,243.0,181.0,63.0,63.0
2.0,242.6,487.0,166.0,173.0,165.0,194.0,50.5,49.5,1.49,10.3,6.7,58.0,227.0,170.0,243.0,181.0,63.0,63.0
3.0,238.9,726.0,175.0,182.0,166.0,190.0,49.7,50.3,1.55,11.2,7.0,60.0,224.0,169.0,239.0,181.0,63.0,63.0
1.0,238.3,238.0,157.0,183.0,169.0,179.0,51.7,48.3,1.52,9.8,6.4,53.0,221.0,174.0,233.0,181.0,63.0,63.0
2.0,239.7,478.0,185.0,191.0,169.0,184.0,52.1,47.9,1.51,9.8,6.3,65.0,228.0,172.0,235.0,181.0,63.0,63.0
3.0,239.7,718.0,188.0,193.0,171.0,184.0,52.1,47.9,1.51,9.7,6.2,66.0,228.0,176.0,235.0,181.0,63.0,63.0
1.0,337.6,337.0,155.0,172.0,164.0,219.0,50.6,49.4,1.1,10.1,9.0,77.0,271.0,170.0,334.0,181.0,63.0,63.0
2.0,303.5,641.0,158.0,168.0,164.0,209.0,51.7,48.3,1.21,10.6,8.5,71.0,277.0,169.0,304.0,181.0,63.0,63.0
3.0,328.5,970.0,148.0,163.0,161.0,213.0,52.1,47.9,1.11,10.9,9.6,67.0,306.0,171.0,328.0,181.0,63.0,63.0
1.0,236.9,236.0,142.0,154.0,163.0,198.0,48.7,51.3,1.56,11.3,7.0,47.0,220.0,169.0,230.0,181.0,63.0,63.0
2.0,237.7,474.0,157.0,163.0,164.0,199.0,50.1,49.9,1.6,10.8,6.4,55.0,225.0,168.0,229.0,181.0,63.0,63.0
3.0,240.1,715.0,176.0,186.0,166.0,195.0,51.5,48.5,1.58,10.5,6.3,62.0,225.0,170.0,230.0,181.0,63.0,63.0
1.0,330.5,330.0,142.0,158.0,161.0,199.0,50.2,49.8,1.1,10.8,9.7,67.0,284.0,170.0,330.0,181.0,63.0,63.0
2.0,306.2,637.0,163.0,167.0,164.0,192.0,51.7,48.3,1.21,10.4,8.3,73.0,286.0,167.0,306.0,181.0,63.0,63.0
3.0,317.7,954.0,167.0,180.0,164.0,198.0,51.6,48.4,1.18,10.3,8.4,77.0,282.0,171.0,318.0,181.0,63.0,63.0
1.0,330.5,330.0,142.0,158.0,161.0,199.0,50.2,49.8,1.1,10.8,9.7,67.0,284.0,170.0,330.0,181.0,63.0,63.0
2.0,306.2,637.0,163.0,167.0,164.0,192.0,51.7,48.3,1.21,10.4,8.3,73.0,286.0,167.0,306.0,181.0,63.0,63.0
3.0,317.7,954.0,167.0,180.0,164.0,198.0,51.6,48.4,1.18,10.3,8.4,77.0,282.0,171.0,318.0,181.0,63.0,63.0
1.0,377.1,377.0,132.0,149.0,156.0,230.0,52.1,47.9,1.0,11.1,11.2,66.0,337.0,164.0,369.0,181.0,63.0,63.0
2.0,358.3,735.0,153.0,168.0,158.0,222.0,51.4,48.6,1.01,11.7,11.4,78.0,321.0,167.0,358.0,181.0,63.0,63.0
3.0,367.8,1103.0,155.0,166.0,160.0,223.0,52.0,48.0,1.04,11.0,10.4,80.0,332.0,165.0,368.0,181.0,63.0,63.0
1.0,245.7,245.0,141.0,174.0,164.0,190.0,52.5,47.5,1.46,10.7,7.4,48.0,228.0,170.0,245.0,181.0,63.0,63.0
2.0,240.8,486.0,180.0,187.0,168.0,186.0,52.1,47.9,1.5,10.2,6.6,63.0,227.0,172.0,241.0,181.0,63.0,63.0
3.0,197.8,684.0,190.0,195.0,176.0,174.0,57.4,42.6,1.71,9.2,5.2,56.0,182.0,186.0,198.0,181.0,63.0,63.0
1.0,240.2,240.0,147.0,171.0,165.0,179.0,51.2,48.8,1.5,11.1,7.5,50.0,221.0,169.0,240.0,181.0,63.0,63.0
2.0,236.2,476.0,178.0,184.0,165.0,183.0,50.9,49.1,1.54,11.4,7.2,61.0,224.0,170.0,236.0,181.0,63.0,63.0
3.0,197.2,674.0,186.0,191.0,173.0,167.0,56.0,44.0,1.77,10.1,5.5,54.0,186.0,178.0,197.0,181.0,63.0,63.0
1.0,242.2,242.0,157.0,174.0,164.0,173.0,51.6,48.4,1.48,11.4,7.9,55.0,223.0,168.0,242.0,181.0,63.0,63.0
2.0,248.9,491.0,170.0,181.0,166.0,180.0,53.1,46.9,1.41,11.3,7.8,62.0,235.0,171.0,249.0,181.0,63.0,63.0
3.0,250.2,741.0,168.0,178.0,167.0,194.0,52.3,47.7,1.42,11.0,7.9,61.0,231.0,176.0,249.0,181.0,63.0,63.0
1.0,241.9,241.0,147.0,179.0,166.0,190.0,51.3,48.7,1.47,10.0,7.0,51.0,234.0,175.0,239.0,181.0,63.0,63.0
